序号,网站标识码,网站名称,首页网址,网站主管单位,网站状态
523,bm84000002,中国双拥网,http://sy.mva.gov.cn/,中华人民共和国退役军人事务部,正常
524,bm85000001,国家国际发展合作署,http://www.cidca.gov.cn/,bm8500,正常
525,bm86000001,国家移民管理局,https://www.nia.gov.cn/,国家移民管理局,正常
526,bm87000001,北斗卫星导航系统,http://www.beidou.gov.cn,中国卫星导航系统管理办公室,正常
527,bm88000001,广西壮族自治区消防救援总队网站,http://gx.119.gov.cn,广西壮族自治区消防救援总队,正常
528,bm88000002,云南消防政务网,http://yn.119.gov.cn,云南省消防救援总队,正常
529,bm88000003,四川省消防救援总队,https://sc.119.gov.cn,四川省消防救援总队新闻宣传处,正常
530,bm88000005,江西省消防救援总队门户网站,http://jx.119.gov.cn/,应急管理部消防救援局,正常
531,bm88000006,海南省消防救援总队,http://hi.119.gov.cn,海南省消防救援总队,正常
532,bm88000007,福建省消防救援总队,http://fj.119.gov.cn,国家消防救援局,正常
533,bm88000008,上海市消防救援总队,http://sh.119.gov.cn,国家消防救援局,正常
